,N,P,time
1356,180,0.9,0.1492300033569336
1357,180,1.0,0.15906667709350586
1358,190,0.05,0.012559652328491211
1359,190,0.1,0.021695613861083984
1360,190,0.3,0.058824777603149414
1361,190,0.5,0.09292817115783691
1362,190,0.7,0.12969732284545898
1363,190,0.9,0.16357898712158203
1364,190,1.0,0.17424845695495605
1365,200,0.05,0.014160633087158203
1366,200,0.1,0.02347254753112793
1367,200,0.3,0.06453919410705566
1368,200,0.5,0.10401368141174316
1369,200,0.7,0.14389371871948242
1370,200,0.9,0.18510103225708008
1371,200,1.0,0.1965951919555664
1372,210,0.05,0.015811920166015625
1373,210,0.1,0.02684640884399414
1374,210,0.3,0.07075023651123047
1375,210,0.5,0.11612844467163086
1376,210,0.7,0.1591935157775879
1377,210,0.9,0.20577359199523926
1378,210,1.0,0.21403098106384277
1379,220,0.05,0.016192913055419922
1380,220,0.1,0.029668331146240234
1381,220,0.3,0.07924294471740723
1382,220,0.5,0.1262681484222412
1383,220,0.7,0.17451000213623047
1384,220,0.9,0.22822046279907227
1385,220,1.0,0.23920083045959473
1386,230,0.05,0.018800973892211914
1387,230,0.1,0.03286266326904297
1388,230,0.3,0.0862123966217041
1389,230,0.5,0.1426694393157959
1390,230,0.7,0.19010019302368164
1391,230,0.9,0.23827481269836426
1392,230,1.0,0.2517280578613281
1393,240,0.05,0.019168853759765625
1394,240,0.1,0.03373861312866211
1395,240,0.3,0.09055399894714355
1396,240,0.5,0.14734315872192383
1397,240,0.7,0.20396113395690918
1398,240,0.9,0.26389551162719727
1399,240,1.0,0.27669763565063477
1400,250,0.05,0.02070331573486328
1401,250,0.1,0.03684639930725098
1402,250,0.3,0.09744429588317871
1403,250,0.5,0.1657569408416748
1404,250,0.7,0.22808265686035156
1405,250,0.9,0.2921116352081299
1406,250,1.0,0.3065061569213867
1407,260,0.05,0.022552967071533203
1408,260,0.1,0.04145979881286621
1409,260,0.3,0.1078500747680664
1410,260,0.5,0.1811213493347168
1411,260,0.7,0.24601244926452637
1412,260,0.9,0.3111240863800049
1413,260,1.0,0.32177305221557617
1414,270,0.05,0.02337956428527832
1415,270,0.1,0.041130781173706055
1416,270,0.3,0.11584997177124023
1417,270,0.5,0.18493437767028809
1418,270,0.7,0.2591228485107422
1419,270,0.9,0.32949256896972656
1420,270,1.0,0.346663236618042
1421,280,0.05,0.024750947952270508
1422,280,0.1,0.04561138153076172
1423,280,0.3,0.13072681427001953
1424,280,0.5,0.20897746086120605
1425,280,0.7,0.2943413257598877
1426,280,0.9,0.36723804473876953
