,N,C,time
1252,650,5,0.025495529174804688
1253,650,7,0.033631086349487305
1254,650,9,0.0403134822845459
1255,660,1,0.01817607879638672
1256,660,3,0.019928455352783203
1257,660,5,0.025590896606445312
1258,660,7,0.033774614334106445
1259,660,9,0.04067516326904297
1260,670,1,0.018534421920776367
1261,670,3,0.02056431770324707
1262,670,5,0.026398420333862305
1263,670,7,0.03442049026489258
1264,670,9,0.041791677474975586
1265,680,1,0.018718957901000977
1266,680,3,0.02060556411743164
1267,680,5,0.026695966720581055
1268,680,7,0.034947872161865234
1269,680,9,0.04222822189331055
1270,690,1,0.018688440322875977
1271,690,3,0.02072000503540039
1272,690,5,0.02673053741455078
1273,690,7,0.034777164459228516
1274,690,9,0.04196929931640625
1275,700,1,0.0191042423248291
1276,700,3,0.0211789608001709
1277,700,5,0.027670621871948242
1278,700,7,0.03618597984313965
1279,700,9,0.04284548759460449
1280,710,1,0.01948070526123047
1281,710,3,0.021723270416259766
1282,710,5,0.027593135833740234
1283,710,7,0.03609514236450195
1284,710,9,0.04355359077453613
1285,720,1,0.01987290382385254
1286,720,3,0.021753311157226562
1287,720,5,0.028353214263916016
1288,720,7,0.03690743446350098
1289,720,9,0.04418540000915527
1290,730,1,0.019964218139648438
1291,730,3,0.021994829177856445
1292,730,5,0.028455495834350586
1293,730,7,0.03695392608642578
1294,730,9,0.04481148719787598
1295,740,1,0.02053976058959961
1296,740,3,0.022526025772094727
1297,740,5,0.029079914093017578
1298,740,7,0.037488698959350586
1299,740,9,0.04542851448059082
1300,750,1,0.0207669734954834
1301,750,3,0.022778749465942383
1302,750,5,0.02961897850036621
1303,750,7,0.03862810134887695
1304,750,9,0.04604506492614746
1305,760,1,0.0206146240234375
1306,760,3,0.0227353572845459
1307,760,5,0.029240131378173828
1308,760,7,0.03854823112487793
1309,760,9,0.04614973068237305
1310,770,1,0.021216154098510742
1311,770,3,0.023475170135498047
1312,770,5,0.030046701431274414
1313,770,7,0.03920245170593262
1314,770,9,0.04737281799316406
1315,780,1,0.02149653434753418
1316,780,3,0.023499250411987305
